question,choices,answer,why,difficulty,category,skin
"A circuit has continuity when…","There is a complete, unbroken path for current|The wire is copper|The breaker is oversized","There is a complete, unbroken path for current","No complete path, no current — continuity is the first thing to check.",easy,CIRC,both
"An open circuit means…","No current flows|Maximum current flows|The voltage doubles","No current flows","An open is a break in the path — the circuit does nothing until it's closed.",easy,CIRC,both
"In a series circuit, a break anywhere means…","Everything loses power|Only the last load loses power|Nothing changes","Everything loses power","Series loads share one path — one break opens the whole circuit.",easy,CIRC,theory
"Ohm's law says current equals…","Voltage divided by resistance|Voltage times resistance|Resistance divided by voltage","Voltage divided by resistance","I = V/R. Less resistance or more voltage means more current.",easy,CIRC,theory
"Electrical power in watts equals…","Volts times amps|Volts plus amps|Amps divided by volts","Volts times amps","P = V × I. A 120 V load drawing 10 A uses 1200 W.",easy,CIRC,theory
"A short circuit is…","An unintended very-low-resistance path|A run under 10 feet|A circuit with a small breaker","An unintended very-low-resistance path","Low resistance means huge current — that's why protection has to open fast.",medium,CIRC,both
"In a parallel circuit, each branch…","Gets the full source voltage|Splits the voltage equally|Must have the same resistance","Gets the full source voltage","Branch circuits are parallel — every load sees the same supply voltage.",medium,CIRC,theory
"The unit of electrical current is the…","Ampere|Volt|Watt","Ampere","Amps measure how much charge flows per second — current is the flow itself.",easy,CIRC,theory
"The unit of electrical resistance is the…","Ohm|Amp|Joule","Ohm","Resistance in ohms is how hard a material fights current flow.",easy,CIRC,theory
"Voltage is best described as…","The electrical pressure that pushes current through a circuit|The speed of the electrons|The thickness of the wire","The electrical pressure that pushes current through a circuit","Voltage is potential difference — the push; current only flows when a path lets it.",easy,CIRC,theory
"A switch turns a load off by…","Opening the circuit path|Absorbing the current|Lowering the voltage to half","Opening the circuit path","A switch is just a controlled open — break the path, stop the current.",easy,CIRC,theory
"Which material is a conductor?","Copper|Rubber|Glass","Copper","Metals like copper let current flow freely; rubber and glass are insulators.",easy,CIRC,theory
"In circuit terms, a load is…","A device that converts electrical energy into light, heat, or motion|The wire between outlets|The service panel","A device that converts electrical energy into light, heat, or motion","Lamps, motors, heaters — the load is where the energy does useful work.",easy,CIRC,theory
"Current flows in a circuit only when…","The path is closed and complete|The wire is brand new|The breaker is oversized","The path is closed and complete","A closed loop from source through load and back — that is the whole game.",easy,CIRC,theory
"In a series circuit, the current…","Is the same through every component|Splits between the loads|Is zero at the last load","Is the same through every component","One path means one current — every series element carries the identical amps.",medium,CIRC,theory
"Two identical lamps in series across 120 V each see…","60 V|120 V|240 V","60 V","Series voltage divides between loads — equal loads split it equally.",medium,CIRC,theory
