question,choices,answer,why,difficulty,category,skin
"A 20 A breaker with 25 A of connected load will…","Trip on overload|Run forever|Boost the voltage","Trip on overload","The breaker protects the conductors — sustained current above rating opens it.",easy,OCP,both
"The service disconnect's main job is to…","Cut all power to the building in one motion|Save energy|Boost the voltage","Cut all power to the building in one motion","One clear means of disconnect — everything downstream goes dead together.",easy,OCP,theory
"If a breaker feels hot to the touch, you should…","Investigate the load and connections|Ignore it|Spray it with water","Investigate the load and connections","Heat means high current or a bad connection — both need attention now.",easy,OCP,both
"Which device is single-use and must be replaced after it operates?","Fuse|Circuit breaker|GFCI","Fuse","A fuse blows once; a breaker resets.",easy,OCP,theory
"Lightning strikes nearby and a voltage spike hits the building. Which device absorbs it?","SPD|GFCI|Fuse","SPD","Surge protective devices clamp transient overvoltage from lightning and switching.",easy,OCP,both
"Which device detects dangerous arcing in a circuit?","AFCI|GFCI|SPD|Fuse","AFCI","An AFCI recognizes the electrical signature of arcing and opens the circuit.",easy,OCP,theory
"A circuit breaker primarily protects…","The conductors from overheating|The appliance warranty|People from shock","The conductors from overheating","Overcurrent protection is sized to the wire — GFCIs are what protect people.",medium,OCP,theory
"An overload differs from a short circuit because it is…","Sustained current above rating, not a fault|Always caused by lightning|Harmless to conductors","Sustained current above rating, not a fault","Overloads cook conductors slowly; shorts are faults with huge instant current.",medium,OCP,theory
"A breaker that trips repeatedly means…","Find and fix the cause before resetting again|Hold it closed|Replace it with a bigger one","Find and fix the cause before resetting again","A tripping breaker is doing its job — a bigger breaker just moves the failure into the wire.",medium,OCP,both
"An AFCI breaker is designed to detect…","Dangerous arcing in the circuit|Low voltage|Power theft","Dangerous arcing in the circuit","Arc faults from damaged cords and loose connections start fires — AFCIs open on the arc signature.",medium,OCP,theory
"Never tie two separate circuits together because…","Backfeed can energize what should be dead|It doubles the voltage|Breakers work better in pairs","Backfeed can energize what should be dead","Interconnected sources can feed a 'dead' circuit — lethal for anyone working on it.",medium,OCP,both
"An overload is…","Sustained current above the circuit rating|A bolted fault between conductors|Current leaking to ground","Sustained current above the circuit rating","Overload = too much current for too long; a short is a sudden low-impedance fault.",medium,OCP,theory
"A surge protective device (SPD) protects against…","Transient overvoltages|Sustained overloads|Ground faults","Transient overvoltages","SPDs clamp brief voltage spikes; overcurrent devices can't react to them.",medium,OCP,theory
"For best performance, an SPD should be installed…","Close to the equipment it protects, with short leads|At the far end of the branch circuit|Anywhere — location doesn't matter","Close to the equipment it protects, with short leads","Every inch of lead length adds impedance and raises the let-through voltage.",medium,OCP,theory
"AFCI protection is primarily required in…","Dwelling bedrooms and living areas|Outdoor receptacles|Industrial switchgear","Dwelling bedrooms and living areas","Arc faults in bedroom and living-area wiring are a leading cause of home electrical fires.",medium,OCP,theory
"A damaged extension cord is arcing. The right protection is…","AFCI — and remove the cord from service|SPD|A bigger fuse","AFCI — and remove the cord from service","AFCIs detect arcing; the damaged cord itself must also be tagged out of service.",medium,OCP,both
"A breaker's inverse-time characteristic means…","Higher overcurrent trips it faster|It trips at fixed time regardless of current|It only trips at night","Higher overcurrent trips it faster","Small overloads trip in minutes; heavy faults trip in a fraction of a second.",medium,OCP,theory
"A trip curve (time-current curve) shows…","How long a device takes to open at each current level|The cost of the breaker|Wire color assignments","How long a device takes to open at each current level","Overlaying trip curves is how engineers verify selective coordination.",medium,OCP,theory
"For continuous loads, a circuit should be loaded to no more than…","80% of the breaker rating|100% of the breaker rating|120% of the breaker rating","80% of the breaker rating","Continuous loads heat things up — the 80% rule keeps margin on the conductors.",hard,OCP,theory
"Why can an oversized breaker be dangerous?","It may not trip on smaller overloads, letting conductors overheat|It trips too quickly|It uses more energy","It may not trip on smaller overloads, letting conductors overheat","Size the breaker to the conductor — protection sized too big protects nothing.",hard,OCP,theory
"A breaker's interrupting rating (AIC) is…","The maximum fault current it can safely interrupt|Its normal load rating|The number of times it can trip","The maximum fault current it can safely interrupt","A breaker facing more fault current than its AIC can fail violently instead of clearing.",hard,OCP,theory
"Selective coordination means…","The protective device nearest the fault opens first|All devices open at once|The main always opens first","The protective device nearest the fault opens first","Coordination confines the outage to the faulted branch and keeps the rest energized.",hard,OCP,theory
"If a branch-circuit fault trips the building main instead of the branch breaker, the system is…","Poorly coordinated|Well coordinated|Working as intended","Poorly coordinated","Coordination failure blacks out the whole building for a single branch fault.",hard,OCP,theory
"A circuit serving a continuous load must be sized at…","125% of the continuous load|100% of the load|80% of the load","125% of the continuous load","Loads running 3+ hours are sized at 125% so conductors and breakers don't run hot.",hard,OCP,theory
"The largest continuous load allowed on a 20 A breaker is…","16 A|20 A|25 A","16 A","80% of 20 A — continuous heating needs headroom, so 4 A stays in reserve.",hard,OCP,theory
"An EV charger drawing 32 A continuously needs a circuit rated at least…","40 A|32 A|35 A","40 A","Continuous means 125%: 32 x 1.25 = 40 A — the classic modern 80%-rule application.",hard,OCP,theory
"A breaker with a 10 kA interrupting rating installed where 22 kA of fault current is available…","Is misapplied and can fail violently on a fault|Is fine — it will just trip slower|Upgrades itself under load","Is misapplied and can fail violently on a fault","AIC must meet or exceed available fault current — an underrated device can rupture instead of clearing.",hard,OCP,theory
"Available fault current is highest…","Close to the service and transformer, dropping as conductor length adds impedance|At the farthest receptacle|At the smallest breaker","Close to the service and transformer, dropping as conductor length adds impedance","Every foot of wire adds impedance — main gear needs the big interrupting ratings.",hard,OCP,theory
"Which device family typically offers the highest interrupting ratings?","Current-limiting fuses|Standard molded-case breakers|Snap switches","Current-limiting fuses","Current-limiting fuses clear enormous faults in under a half-cycle — a common fix where fault current is huge.",hard,OCP,theory
"For selective coordination, at every fault level the upstream device must be…","Slower than the downstream device protecting the faulted circuit|Faster than the downstream device|The same speed","Slower than the downstream device protecting the faulted circuit","The device nearest the fault clears it; upstream waits — that ordering is read off overlaid trip curves.",hard,OCP,theory
"Selective coordination matters most in…","Emergency and life-safety systems, where one fault must not black out everything|Storage sheds|Holiday lighting","Emergency and life-safety systems, where one fault must not black out everything","Hospitals and egress power cannot lose the whole panel to one branch fault — coordination is required there.",hard,OCP,theory
"The arc flash boundary is the distance where incident energy falls to…","1.2 cal/cm2 — the onset of a second-degree burn|100 cal/cm2|Zero","1.2 cal/cm2 — the onset of a second-degree burn","Cross the boundary unprotected and a curable burn becomes the best case — PPE or distance, pick one.",hard,OCP,theory
"Arc-rated PPE categories 1 through 4 are ranked by…","The incident energy (cal/cm2) the gear can withstand|Cost|Weight only","The incident energy (cal/cm2) the gear can withstand","Higher category, higher cal/cm2 rating — matched to the calculated energy at working distance.",hard,OCP,theory
"Arc flash incident energy grows with…","Available fault current and how long the device takes to clear|Ambient light|Conductor color","Available fault current and how long the device takes to clear","Energy = power x time: big current plus slow clearing is the worst combination on the label.",hard,OCP,theory
"One effective way to reduce arc flash energy at a panel is…","Faster-clearing overcurrent protection upstream|A bigger breaker|Painting the gear","Faster-clearing overcurrent protection upstream","Cut the clearing time and you cut the energy — maintenance switches and current-limiting devices exist for this.",hard,OCP,theory
"Moving farther from a potential arc source…","Reduces incident energy at your body|Increases it|Changes nothing","Reduces incident energy at your body","Energy falls off rapidly with distance — remote racking and long-handled tools are energy controls.",hard,OCP,theory
"The only way to fully eliminate arc flash risk from a task is…","An electrically safe work condition — de-energize, LOTO, verify zero|Category 4 PPE|Working faster","An electrically safe work condition — de-energize, LOTO, verify zero","PPE limits the burn; de-energizing removes it — PPE is the last resort, not the plan.",hard,OCP,theory
"A breaker's thermal element handles overloads; its magnetic (instantaneous) element…","Trips with no intentional delay on short-circuit-level current|Adds a delay to faults|Charges the spring","Trips with no intentional delay on short-circuit-level current","Two sensors in one device: slow heat for overloads, instant magnetics for faults.",hard,OCP,theory
"Arc flash PPE is selected based on…","The incident energy at the working distance|The color of the panel|The time of day","The incident energy at the working distance","PPE is rated in cal/cm² — it must meet or exceed the calculated incident energy.",hard,SITE,both
"The purpose of an arc flash boundary is…","Only protected workers inside that distance|A place to store tools|Marking where to stand for a better view","Only protected workers inside that distance","Inside the boundary, incident energy can exceed 1.2 cal/cm² — PPE required.",medium,SITE,both
"Only who may work on energized electrical equipment?","Qualified persons with proper PPE and permits|Anyone with insulated gloves|The newest crew member","Qualified persons with proper PPE and permits","Energized work takes training, a permit, and arc-rated PPE — qualified persons only.",medium,ELEC,both
"Lockout/tagout (LOTO) means…","De-energize and lock equipment before servicing it|Locking the gate at night|Tagging broken tools","De-energize and lock equipment before servicing it","Lock it, tag it, and verify zero energy before you touch it.",easy,ELEC,both
