question,choices,answer,why,difficulty,category,skin
"A GFCI protects people by…","Tripping fast when current leaks to ground|Limiting the voltage|Adding a bigger fuse","Tripping fast when current leaks to ground","It compares outgoing and returning current — a few milliamps of leakage trips it in a blink.",easy,GRND,both
"GFCI protection is required…","In damp and wet locations|Only in bedrooms|Only above 240 V","In damp and wet locations","Bathrooms, outdoors, garages — anywhere water and people meet the circuit.",easy,GRND,both
"The ground prong on a plug…","Must never be removed|Can be cut off if in the way|Is only for looks","Must never be removed","The ground path is what lets a fault trip the breaker instead of energizing the tool case.",easy,GRND,both
"Which device protects people by detecting current leaking to ground?","GFCI|AFCI|SPD|Fuse","GFCI","A GFCI trips on small ground-leakage currents (about 4-6 mA) to protect people.",easy,GRND,theory
"In the US, the equipment grounding conductor is identified by…","Green insulation or bare copper|White insulation|Red insulation","Green insulation or bare copper","Green or bare = grounding; white or gray = grounded (neutral).",easy,GRND,theory
"The grounded (neutral) conductor is normally colored…","White or gray|Green|Black","White or gray","White or gray identifies the grounded conductor; never reuse it as a hot without re-identification.",easy,GRND,theory
"Which location requires GFCI-protected receptacles?","Bathrooms|Bedroom closets|Hallway ceilings","Bathrooms","Water plus receptacles = GFCI territory: bathrooms, kitchens, garages, outdoors.",easy,GRND,theory
"A hair dryer falls into a sink of water — which device prevents electrocution?","GFCI|AFCI|SPD","GFCI","Ground-fault protection at wet locations is exactly this scenario.",easy,GRND,both
"A GFCI does NOT protect against…","Overloading the circuit|Ground faults through a person|Leakage current to earth","Overloading the circuit","GFCI watches leakage, not total load — overload protection is the breaker's job.",medium,GRND,theory
"Bonding metal parts together…","Puts them at the same potential|Makes them magnetic|Doubles the voltage","Puts them at the same potential","Equal potential means no shock current between parts — and a clear path for faults.",medium,GRND,theory
"Equipment grounding conductors carry current…","Only during a fault|All the time|Never","Only during a fault","The EGC is the emergency path — its job is to trip the breaker fast during a fault.",medium,GRND,theory
"A GFCI trips when ground-leakage current reaches approximately…","4-6 mA|15 A|100 mA|1 A","4-6 mA","People-protection GFCIs trip at 4-6 mA — far below the level that stops a heart.",medium,GRND,theory
"A metal tool case becomes energized. What saves the user?","A low-impedance ground path tripping the breaker|The rubber feet|Luck","A low-impedance ground path tripping the breaker","The fault current needs a highway back — that is what clears the fault fast.",hard,GRND,theory
"Grounding and bonding matter because they…","Give fault current a low-impedance path so devices can clear the fault|Make wires cheaper|Reduce the power bill","Give fault current a low-impedance path so devices can clear the fault","Without an effective ground path, protective devices may never see the fault.",hard,GRND,both
"The difference between grounding and bonding is…","Grounding ties the system to earth; bonding ties metal parts to each other|They are two words for the same connection|Bonding is only for lightning","Grounding ties the system to earth; bonding ties metal parts to each other","Two jobs: an earth reference for the system, metal-to-metal continuity for fault clearing.",medium,GRND,theory
"A GFCI decides to trip by…","Comparing current going out on the hot with current returning on the neutral|Measuring the total load in amps|Sensing heat in the receptacle","Comparing current going out on the hot with current returning on the neutral","Out must equal back — a few milliamps of imbalance means current is escaping through something, maybe you.",medium,GRND,theory
"On a GFCI receptacle, devices wired to the LOAD terminals…","Also get GFCI protection downstream|Bypass the protection|Trip the breaker instantly","Also get GFCI protection downstream","One GFCI at the head of the line can protect the whole downstream run.",medium,GRND,theory
"If a tool's equipment grounding conductor is broken, the tool…","Runs normally but has lost its fault protection|Stops working immediately|Becomes double insulated","Runs normally but has lost its fault protection","The EGC carries no current in normal use — a broken one hides until the fault that needed it.",medium,GRND,theory
"Wet skin is dangerous around electricity because it…","Drops your body's resistance, so the same voltage pushes more current through you|Increases your body's resistance|Insulates you from ground","Drops your body's resistance, so the same voltage pushes more current through you","Ohm's law applies to people — less resistance, more current, and milliamps are what stop hearts.",medium,GRND,theory
"The grounding electrode (ground rod) system mainly exists to…","Limit voltage from lightning and utility surges and stabilize the system to earth|Trip breakers during ground faults|Power the neutral","Limit voltage from lightning and utility surges and stabilize the system to earth","The rod handles sky-and-surge duty — fault clearing is the EGC and bonding's job, not the dirt's.",medium,GRND,theory
"Shock severity depends mostly on…","How much current flows, its path through the body, and for how long|The brand of the tool|The gauge of the wire","How much current flows, its path through the body, and for how long","Current through the chest for longer is the killer combination — voltage only matters as what drives the current.",medium,GRND,theory
"A standard breaker cannot protect a person from shock because…","It trips at amps, while dangerous shock current is only milliamps|It reacts too quickly|It only works on 240 V","It trips at amps, while dangerous shock current is only milliamps","A 20 A breaker sleeps through a 100 mA shock — that gap is exactly why GFCIs exist.",medium,GRND,theory
"Using a three-prong-to-two-prong adapter without landing its tab defeats…","The equipment grounding path|The neutral|The insulation","The equipment grounding path","The cheater plug floats the tool's case — the fault path back to the panel is gone.",medium,GRND,theory
"Double-insulated tools are permitted without an equipment ground because…","Two independent insulation layers stand between live parts and the user|They run on low voltage only|Their cases are magnetic","Two independent insulation layers stand between live parts and the user","The square-in-a-square marking means protection by insulation instead of by grounding.",medium,GRND,theory
"The neutral-to-ground bond belongs…","Only at the service disconnect, not in downstream subpanels|In every panel for redundancy|At each receptacle","Only at the service disconnect, not in downstream subpanels","Extra bonds put normal neutral current onto metal parts and grounding conductors — one bond, at the service.",hard,GRND,theory
"A GFCI installed on an old two-wire circuit with no ground wire…","Still protects people — it senses imbalance and needs no EGC|Cannot function|Only works on 240 V","Still protects people — it senses imbalance and needs no EGC","GFCI protection is math, not grounding — which is why code allows GFCIs to replace ungrounded receptacles.",hard,GRND,theory
"Driving a ground rod at a shed instead of running an equipment grounding conductor…","Does not clear faults — earth's resistance is far too high to trip a breaker|Works as well as an EGC|Doubles the protection","Does not clear faults — earth's resistance is far too high to trip a breaker","Dirt is a terrible conductor: a 120 V fault through a rod may draw only a few amps — the breaker never notices.",hard,GRND,theory
"During a ground fault, the fault current's return path to the transformer is…","The EGC and the main bonding jumper — not the earth|Through the soil to the utility pole|The hot conductor of another circuit","The EGC and the main bonding jumper — not the earth","Fault current wants its source — the metallic bonding path is what carries it back and trips the device.",hard,GRND,theory
"A bootleg ground (neutral jumped to the ground screw) is dangerous because…","Normal neutral current flows on the ground path, and a broken neutral energizes tool cases|It trips the GFCI too often|It doubles the voltage","Normal neutral current flows on the ground path, and a broken neutral energizes tool cases","The case rides on the neutral — one loose neutral connection upstream and every grounded surface goes live.",hard,GRND,theory
"A GFCI will NOT save someone who contacts…","Hot and neutral at the same time|Hot and the equipment ground|Hot and a water pipe","Hot and neutral at the same time","Body current from hot to neutral looks exactly like a load — balanced, invisible to the sensor.",hard,GRND,theory
"The equipment grounding conductor must be run with the circuit conductors because…","Separation raises the path's impedance and slows fault clearing|It looks neater|Color codes require it","Separation raises the path's impedance and slows fault clearing","Keeping the fault path physically close to its circuit keeps impedance low — fast tripping depends on it.",hard,GRND,theory
"An intact neutral sits near 0 V, but opening a loaded neutral is dangerous because…","The full circuit voltage appears across the break|It stays at exactly 0 V|The current stops instantly","The full circuit voltage appears across the break","The load re-references the broken end at line voltage — treat every neutral as live until proven dead.",hard,GRND,theory
"A downed power line should be treated as…","Energized until the utility confirms otherwise|Dead if it isn't sparking|Safe after 10 minutes","Energized until the utility confirms otherwise","A line can be silent, still, and lethal — stay back and call the utility.",easy,ELEC,both
"Temporary power on a construction site should run through…","GFCI protection|A bigger breaker|An extension cord splitter","GFCI protection","GFCIs cut power fast when current leaks to ground — that protects people.",easy,ELEC,both
"A damaged extension cord on site should be…","Taken out of service immediately|Wrapped in tape|Used for light loads only","Taken out of service immediately","A damaged cord is a shock and fire hazard — remove it, don't patch it.",medium,ELEC,both
"Verifying zero energy after locking out means…","Testing the circuit with a meter before touching it|Trusting the lock|Asking a coworker","Testing the circuit with a meter before touching it","Test before touch — the lock proves intent, the meter proves it's dead.",hard,ELEC,both
